2026-06-18 11:06:37.755 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:37.883 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:37.978 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:38.012 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:38.135 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:38.230 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:38.270 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:38.404 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 2 ms | CPU Load: %.2f%%
2026-06-18 11:06:38.516 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:38.550 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:38.674 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 2 ms | CPU Load: %.2f%%
2026-06-18 11:06:38.789 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:38.834 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 2 ms | CPU Load: %.2f%%
2026-06-18 11:06:38.973 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:39.065 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:39.099 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:39.227 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:39.333 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:39.375 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 2 ms | CPU Load: %.2f%%
2026-06-18 11:06:39.503 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:39.601 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:39.642 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:39.777 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:39.871 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:39.907 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:40.030 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:40.135 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 4 ms | CPU Load: %.2f%%
2026-06-18 11:06:40.175 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:40.300 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 2 ms | CPU Load: %.2f%%
2026-06-18 11:06:40.397 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:40.431 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:40.579 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:40.674 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:40.708 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:40.828 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:40.922 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:40.957 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:41.078 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:41.172 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:41.207 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 2 ms | CPU Load: %.2f%%
2026-06-18 11:06:41.332 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:41.426 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:41.462 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:41.583 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:41.676 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:41.711 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:41.833 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:41.931 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 2 ms | CPU Load: %.2f%%
2026-06-18 11:06:41.968 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:42.097 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:42.191 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:42.225 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:42.345 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:42.443 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:42.479 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:42.599 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:42.692 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:42.729 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:42.862 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:42.956 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:42.991 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:43.113 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:43.207 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:43.239 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:43.358 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:43.453 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 2 ms | CPU Load: %.2f%%
2026-06-18 11:06:43.486 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:43.607 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:43.707 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:43.749 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:43.917 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:44.018 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:44.052 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:44.190 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:44.280 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:44.314 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:44.446 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 2 ms | CPU Load: %.2f%%
2026-06-18 11:06:44.555 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:44.588 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:44.708 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 2 ms | CPU Load: %.2f%%
2026-06-18 11:06:44.801 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:44.837 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:44.958 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:45.067 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:45.101 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:45.220 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:45.355 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:45.389 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:45.515 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:45.615 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:45.650 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:45.783 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:45.887 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:45.938 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:46.074 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:46.173 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:46.207 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:46.347 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:46.442 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:46.477 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:46.602 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:46.696 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:46.731 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:46.856 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:46.949 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:46.985 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:47.109 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:47.213 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:47.249 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:47.371 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:47.469 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:47.506 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:47.629 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:47.723 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:47.759 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:47.888 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:47.981 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:48.019 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:48.148 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:48.242 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:48.281 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:48.425 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:48.522 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:48.559 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:48.682 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:48.795 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:48.844 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:48.985 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:49.104 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:49.148 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 2 ms | CPU Load: %.2f%%
2026-06-18 11:06:49.340 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 2 ms | CPU Load: %.2f%%
2026-06-18 11:06:49.440 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:49.474 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:49.595 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:49.688 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:49.727 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:49.860 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:49.953 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:49.987 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:50.107 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:50.203 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:50.242 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:50.383 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 2 ms | CPU Load: %.2f%%
2026-06-18 11:06:50.478 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:50.513 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:50.674 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 4 ms | CPU Load: %.2f%%
2026-06-18 11:06:50.774 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:50.808 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:50.937 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:51.030 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:51.062 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 0 ms | CPU Load: %.2f%%
2026-06-18 11:06:51.181 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:51.271 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:51.304 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:51.421 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:51.517 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:51.550 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:51.677 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:51.768 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 0 ms | CPU Load: %.2f%%
2026-06-18 11:06:51.801 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:51.919 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:52.011 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 0 ms | CPU Load: %.2f%%
2026-06-18 11:06:52.045 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:52.164 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:52.254 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:52.288 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:52.418 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:52.514 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 0 ms | CPU Load: %.2f%%
2026-06-18 11:06:52.548 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:52.713 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:52.803 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
